Category,Category Reassignment,Sub-Category,Subcategory Reassignment,Sub-Category 2,Subcategory 2 reassignment,Resource assignment,Priority,RCB,Exceptions
Mold Remediation,,Water/Moisture Stains Present,,,,Tech I II III,high,,
Appliances,,Clothes Dryer,,No Power,No power,Tech II III,normal,,
Appliances,,Clothes Dryer,,Not Drying,Operating and Not drying,Tech II III,normal,x,
Appliances,,Clothes Dryer,,Not Spinning,other,Tech II III,normal,,
Appliances,,Clothes Dryer,,"Other, Please provide description","Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Dryer,,Damaged,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Dryer,,Missing Component,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Dryer,,Noisy,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Dryer,,Not Secured,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Dryer,,Dryer Vent Needs Cleaned,Preventative maintenance ,Tech II III,normal,,
Appliances,,Clothes Dryer,,Won't Close,Will not operate,Tech II III,normal,,
Appliances,,Clothes Washer,,"Other, Please provide description","Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,Damaged,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,Leaks,Leaking water- supply Line,Tech II III,emergency,x,
Appliances,,Clothes Washer,,Missing Component,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,No Water,Runs but does not fill with water,Tech II III,normal,,
Appliances,,Clothes Washer,,Noisy,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,Not Draining/Floods,Leaks Water- Drain cycle only ,Tech II III,normal,x,
Appliances,,Clothes Washer,,Not Secured,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,No Power,No power,Tech II III,normal,,
Appliances,,Clothes Washer,,Won't Close,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,Won't Spin,Preventative maintenance ,Tech II III,normal,,
Appliances,,Cooktops,,Broken Control Panel,Preventative maintenance ,Tech II III,normal,,
Appliances,,Cooktops,,Broken Knob,"Other, Please provide description",Tech II III,normal,,
Appliances,,Cooktops,,Burner not heating,Burner not Heating,Tech II III,high,,
Appliances,,Cooktops,,"Other, Please provide description",Damage to cook top,Tech II III,normal,x,
Appliances,,Cooktops,,Excessive Flames From Burner,"Other, Please provide description",Tech II III,normal,,
Appliances,,Cooktops,,Missing Component,"Other, Please provide description",Tech II III,normal,,
Appliances,,Cooktops,,Noisy,"Other, Please provide description",Tech II III,normal,,
Appliances,,Cooktops,,Not Secured,"Other, Please provide description",Tech II III,normal,,
Appliances,,Cooktops,,No Power,No power,Tech II III,high,,
Appliances,,Cooktops,,Smoke From Burner,"Other, Please provide description",Tech II III,normal,,
Appliances,,Cooktops,,Light not working,Light Not operating,Tech II III,normal,x,
Appliances,,Cooktops,,Won't Heat,"Other, Please provide description",Tech II III,normal,,
Appliances,,Dishwasher,,Broken Control Panel,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Dishwasher,,Broken Racks,,Tech I II III,normal,x,
Appliances,,Dishwasher,,Damaged,,Tech I II III,normal,x,
Appliances,,Dishwasher,,Dispenser Will Not Open,,Tech I II III,normal,,
Appliances,,Dishwasher,,Dry Heat Not Working,,Tech I II III,normal,x,
Appliances,,Dishwasher,,Leaks,Leaking Water- Supply Line,Tech I II III,emergency,,
Appliances,,Dishwasher,,Missing Component,Leaking water- Drain Line,Tech I II III,normal,,
Appliances,,Dishwasher,,No Water,Starts- will not fill water,Tech I II III,normal,,
Appliances,,Dishwasher,,Noisy,Preventative maintenance ,Tech I II III,normal,,
Appliances,,Dishwasher,,Not Cleaning,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Dishwasher,,Will not operate,Will not operate,Tech I II III,normal,,
Appliances,,Dishwasher,,Not Draining/Floods,will not drain,Tech I II III,normal,,
Appliances,,Dishwasher,,Not secured to cabinet,Not secured to cabinet,Tech I II III,normal,,
Appliances,,Dishwasher,,"Other, Please Provide Description","Other, Please provide description",Tech I II III,normal,,
Appliances,,Dishwasher,,No Power,No power,Tech I II III,normal,,
Appliances,,Dishwasher,,Strange Odor,"Other, Please provide description",Tech I II III,normal,x,
Appliances,,Dishwasher,,Tracks Do Not Align,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Dishwasher,,Water Is Not Hot,No hot water - dishwasher only,Tech I II III,normal,,
Appliances,,Dishwasher,,Door will not close properly,Door will not close properly,Tech I II III,normal,,
Appliances,,Microwave,,Broken Control Panel,Error code on screen ,Tech II III,normal,,
Appliances,,Microwave,,Damaged,Preventative maintenance ,Tech I II III,normal,,
Appliances,,Microwave,,Loose Handle,loose door handle,Tech I II III,normal,,
Appliances,,Microwave,,Missing Component,"Other, Please provide description",Tech I II III,normal,,
